process_id,dataset_label,xsect_pb,xsect_error_pb,int_lumi_fb,energy_GeV,source_url
500183,500183,4.4656986,0.0117,8957.16,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3897
500181,500181,4.519288,0.0113,6638.21,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3896
500195,500195,13.856513,0.0223,5051.78,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3895
500193,500193,13.845713,0.0229,5777.96,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3894
500171,500171,0.20389968,0.000504,9808.75,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3893
500169,500169,0.22243738,0.000528,8991.29,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3892
500207,500207,0.12667552,0.000171,7894.19,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3891
500205,500205,0.19409879,0.000271,5152.02,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3890
500179,500179,0.72329533,0.00138,5530.24,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3889
500177,500177,1.0954513,0.00179,5477.19,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3888
500187,500187,0.02437996,6.34e-05,41017.3,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3887
500185,500185,0.046157304,0.000124,21665.0,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3886
500199,500199,0.023249034,3.46e-05,43012.5,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3885
500197,500197,0.036995748,4.88e-05,27030.1,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3884
500191,500191,1.434776,0.00189,5575.78,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3883
500189,500189,2.1966446,0.0023,5007.64,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3882
500203,500203,0.19251677,0.000243,5194.35,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3881
500201,500201,0.30532742,0.000361,6550.35,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3880
500175,500175,0.87043107,0.002,5744.28,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3879
500173,500173,1.3107906,0.00433,5340.29,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3878
500223,500223,4.530851,0.00968,6621.27,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3877
500221,500221,4.4987202,0.0115,6668.56,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3876
